hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
1.6080550650e-01,1.4611115565e-04,6.5115306823e-08,8.0184408788e-11,-1.8076498997e-19,9.1488742622e-13,-2.9902136632e-20,4
1.6060568797e-01,9.4365942518e-05,6.6322358206e-08,1.2282728335e-10,3.5042933377e-19,-4.4161971000e-13,-9.8586266592e-21,4
1.6056341919e-01,7.4249993325e-05,2.5339822077e-08,1.0375045438e-10,1.3268502505e-19,-4.4823832940e-14,-1.0341105674e-19,4
1.6038025690e-01,6.3274717082e-06,3.6827689557e-08,5.7765514663e-11,-5.7786139952e-20,-1.2293157707e-13,6.1314664240e-20,4
1.6047836969e-01,4.4601165110e-05,2.7188901754e-09,5.2047056582e-10,-2.1075303713e-20,-3.3842465537e-12,6.1878295365e-19,4
1.6068863950e-01,1.1300882276e-04,1.6547888791e-08,2.1673830629e-09,-8.2961171162e-18,-2.2131441323e-11,9.9827316762e-18,4
1.6037916981e-01,1.4995317866e-05,3.9105973994e-08,1.8608045699e-10,-4.9757606123e-19,3.3327192047e-13,-6.6227405253e-20,4
1.6044606083e-01,3.6251955976e-05,5.9662862049e-08,6.0020892872e-10,3.5667764449e-18,-1.6970993684e-12,-4.2278977200e-19,4
1.6040951296e-01,2.2628717549e-05,9.1202907188e-08,5.1381874689e-10,1.7926512838e-18,7.2044797301e-13,-3.0262785252e-18,4
1.6037922862e-01,1.3744816652e-05,9.1294439545e-08,4.4171626265e-10,8.4817556484e-19,4.9280756441e-13,-2.6737206215e-18,4
1.6048011491e-01,4.7153258126e-05,5.3975946585e-08,1.2400192099e-09,9.6295311788e-18,4.2783515641e-13,3.1919817387e-18,4
1.6047051851e-01,4.5133113413e-05,2.7105584169e-07,1.5040827656e-09,-1.2915444194e-17,-6.1193425181e-12,-2.7486270305e-17,4
1.6041923779e-01,3.4311688449e-05,1.2530927144e-07,1.5837470633e-09,2.1864091995e-17,-8.2260842839e-12,-4.4435551865e-18,4
1.6033620007e-01,9.3581997280e-06,1.1571639712e-07,1.2518527622e-09,-1.1210974880e-17,-3.8266277027e-12,-1.0066235497e-17,4
1.6041415139e-01,2.5364296020e-05,1.3335900884e-07,1.9494067964e-09,2.6543731755e-17,-7.8866116536e-12,-1.6833553494e-17,4
1.5930611198e-01,4.1202218650e-05,9.4824755496e-07,3.8240540988e-10,-2.1003307343e-18,-8.4218048235e-13,-6.9724611728e-18,5
1.5980537985e-01,2.0207481139e-04,8.6137355665e-07,1.7138911656e-09,-5.0945228111e-17,-1.9093432447e-11,-4.1726523392e-17,5
1.5969581026e-01,1.6799784860e-04,5.7901171565e-07,9.4216582945e-10,-2.1916897194e-17,-1.2151928279e-11,1.9746797735e-18,5
1.5964498741e-01,1.5250077963e-04,4.6773419868e-07,7.0157542446e-10,-1.2708743392e-17,-8.6638344310e-12,7.9528004986e-20,5
1.5954695386e-01,1.2098165354e-04,4.6849545777e-07,5.8516756524e-10,-7.2587862750e-18,-4.8869833027e-12,6.4174912926e-18,5
